id,title,description,link,image_link,price,sale_price,availability,condition,brand,google_product_category,custom_label_0
RSP-020,法式自然風花束｜蔚藍花園,蔚藍花園法式自然風花束，精選淺粉、奶白、暖黃奧斯汀玫瑰、藍色飛燕草、柔粉鐵筷子、洋甘菊、尤加利與薄荷，自然野趣手扎風格，散發淡雅清新氣息。香港花店匠心製作，全港鮮花速遞，適合送給摯友、戀人或長輩，承載溫柔純潔的祝福。,https://www.royalspl.shop/product-detail.html?id=21,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/01-blue-delphinium-garden-rose-bouquet/blue-delphinium-peach-garden-rose-bouquet-main.jpg,980.00 HKD,,preorder,new,RoyalSpl Florist,Home & Garden > Plants > Flowers,法式田園風
RSP-021,紫霧蜜桃,紫霧蜜桃法式自然風花束，精選蜜桃色玫瑰、淡紫飛燕草、柔粉鐵筷子、洋甘菊、尤加利葉與蕾絲花，自然森系設計溫柔雅致。香港花店匠心製作，新鮮進口花材直送，全港鮮花速遞，適合贈送母親、閨蜜或用於生日、紀念日場合，承載溫柔祝福。,https://www.royalspl.shop/product-detail.html?id=22,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/02-lavender-delphinium-peach-rose-bouquet/lavender-delphinium-peach-rose-garden-bouquet-main.jpg,1080.00 HKD,,preorder,new,RoyalSpl Florist,Home & Garden > Plants > Flowers,法式田園風
RSP-022,霧藍風鈴,霧藍風鈴法式自然風花束，精選風鈴花、星芹、洋甘菊、尤加利、薄荷與蕨葉，清新自然森系風格。霧藍色包裝紙包裹，簡約療癒。香港花店匠心製作，新鮮花材直送，全港鮮花速遞，適合送予摯友、長輩，生日、紀念日傳遞溫柔純潔的心意。,https://www.royalspl.shop/product-detail.html?id=23,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/03-dusty-blue-pink-aster-campanula-bouquet/dusty-blue-pink-aster-campanula-bouquet-main.jpg,1180.00 HKD,,preorder,new,RoyalSpl Florist,Home & Garden > Plants > Flowers,法式田園風
RSP-023,蜜桃蕾絲,蜜桃蕾絲法式田園風花束，精選香檳色Juliet庭園玫瑰、復古粉玫瑰、小白菊與蕾絲花，螺旋結構露出花腳的法式標準工藝。炭灰色防水棉紙包裹，低調優雅。香港花店RoyalSpl Florist匠心製作，新鮮進口花材直送，全港鮮花速遞，適合情人節、生日、紀念日送禮。,https://www.royalspl.shop/product-detail.html?id=24,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/04-peach-garden-rose-ammi-bouquet/peach-garden-rose-pink-spray-ammi-bouquet-main.jpg,1280.00 HKD,,preorder,new,RoyalSpl Florist,Home & Garden > Plants > Flowers,法式田園風
RSP-024,裸粉晨曦,裸粉晨曦法式自然風花束，精選淺藍飛燕草、桃色與白色風鈴草、洋甘菊、尤加利葉與蕨類，輕盈空氣感如晨曦初露。莫蘭迪霧面灰藍藝術紙包裝，深灰絲絨絲帶，優雅動人。香港花店匠心製作，全港鮮花速遞，適合生日、紀念日、家居擺設。,https://www.royalspl.shop/product-detail.html?id=25,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/05-nude-pink-rose-lavender-eucalyptus-bouquet/nude-pink-rose-lavender-ammi-eucalyptus-bouquet-main.jpg,1080.00 HKD,,preorder,new,RoyalSpl Florist,Home & Garden > Plants > Flowers,法式田園風
RSP-025,法式田園・復古花語,法式田園復古花語花束，精選珊瑚橘庭園玫瑰、奶油白玫瑰、風鈴草、蕾絲花與鼠尾草綠葉材，不與百花爭豔，僅以隨性與生機訴說復古恬靜。焦糖色與炭灰色包裝，南法田園風情。香港花店匠心製作，全港鮮花速遞，適合生日、喬遷、商務送禮。,https://www.royalspl.shop/product-detail.html?id=26,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/06-peach-garden-rose-blue-cornflower-sage-bouquet/peach-garden-rose-blue-cornflower-sage-green-bouquet-main.jpg,1380.00 HKD,,preorder,new,RoyalSpl Florist,Home & Garden > Plants > Flowers,法式田園風
RSP-026,法式田園・復古灰紫花語,法式田園復古灰紫花語花束，精選莫蘭迪灰紫玫瑰、奶油白玫瑰、風鈴草與小白菊，低調奢華的色彩如莫內畫作般溫柔。炭灰色與銀灰色霧面包裝，營造復古藝術感。香港花店匠心製作，進口花材新鮮直送，全港鮮花速遞，適合情人節、紀念日、求婚送禮。,https://www.royalspl.shop/product-detail.html?id=27,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/07-mauve-rose-white-rose-daisy-luxury-bouquet/mauve-rose-white-rose-daisy-luxury-bouquet-main.jpg,1380.00 HKD,,preorder,new,RoyalSpl Florist,Home & Garden > Plants > Flowers,法式田園風
RSP-027,法式鄉村・晨曦物語,法式鄉村晨曦物語花束，精選Juliet庭園玫瑰、奶油白陸蓮花、小白菊與尤加利葉，隨性自然的線條營造田園清晨的恬靜氛圍。炭灰色防水棉紙包裹，燕麥色粗麻布絲帶，復古優雅。香港花店RoyalSpl Florist匠心製作，全港鮮花速遞，適合生日、母親節、探病送禮。,https://www.royalspl.shop/product-detail.html?id=28,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/08-white-ranunculus-peach-rose-pink-bouquet/white-ranunculus-peach-rose-pink-spray-bouquet-main.jpg,1280.00 HKD,,preorder,new,RoyalSpl Florist,Home & Garden > Plants > Flowers,法式田園風
RSP-028,法式田園・晨曦物語,法式田園晨曦物語花束，精選深紅Juliet庭園玫瑰、白色洋桔梗、風鈴草與蕾絲花，在晨光中綻放溫柔與熱情。鼠尾草綠與焦糖色包裝，營造南法鄉村田園氛圍。香港花店匠心製作，新鮮進口花材直送，全港鮮花速遞，適合求婚、紀念日、生日送禮。,https://www.royalspl.shop/product-detail.html?id=29,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/09-burgundy-rose-white-lisianthus-classic-bouquet/burgundy-rose-white-lisianthus-classic-bouquet-main.jpg,1380.00 HKD,,preorder,new,RoyalSpl Florist,Home & Garden > Plants > Flowers,法式田園風
RSP-030,晨霧幽蘭花束,晨霧幽蘭法式田園風花束，精選莫蘭迪灰紫玫瑰、奶油白陸蓮花、鼠尾草綠葉材與小白菊，交織出晨曦薄霧般的靜謐美感。炭灰色防水棉紙包裹，焦糖色絲帶點綴，低調奢華。香港花店RoyalSpl Florist匠心製作，全港鮮花速遞，適合生日、情人節、紀念日送禮。,https://www.royalspl.shop/product-detail.html?id=31,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/11-peach-garden-rose-purple-daisy-stock-bouquet/peach-garden-rose-purple-daisy-white-stock-bouquet-main.jpg,1180.00 HKD,,preorder,new,RoyalSpl Florist,Home & Garden > Plants > Flowers,法式田園風
