id,title,description,link,image_link,price,sale_price,availability,condition,brand,google_product_category,custom_label_0
RSP-020,French Natural Style Bouquet | Azure Garden,"Azure Garden French natural bouquet featuring light pink, cream white and warm yellow Austin roses, blue delphinium, soft pink hellebores, chamomile, eucalyptus and mint, natural wild hand-tied style with delicate fresh fragrance. Handcrafted by Hong Kong florist, delivery across HK, perfect for friends, lovers and elders with gentle pure blessings.",https://www.royalspl.shop/en/product-detail.html?id=21,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/01-blue-delphinium-garden-rose-bouquet/blue-delphinium-peach-garden-rose-bouquet-main.jpg,980.00 HKD,,preorder,new,RoyalSpl Florist,Home & Garden > Plants > Flowers,法式田園風
RSP-021,Purple Haze Peach,"Purple Mist Peach French natural bouquet featuring peach roses, light purple delphinium, soft pink hellebores, chamomile, eucalyptus and lace flowers, natural forest design gentle and elegant. Handcrafted by Hong Kong florist with fresh imported flowers, delivery across HK, perfect for mothers, best friends, birthdays and anniversaries with gentle blessings.",https://www.royalspl.shop/en/product-detail.html?id=22,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/02-lavender-delphinium-peach-rose-bouquet/lavender-delphinium-peach-rose-garden-bouquet-main.jpg,1080.00 HKD,,preorder,new,RoyalSpl Florist,Home & Garden > Plants > Flowers,法式田園風
RSP-022,Mist Blue Bellflower,"Misty Blue Bellflower French natural bouquet featuring bellflowers, astrantia, chamomile, eucalyptus, mint and fern leaves, fresh natural forest style. Wrapped in misty blue paper, simple and healing. Handcrafted by Hong Kong florist with fresh flowers, delivery across HK, perfect for friends and elders, birthdays and anniversaries to convey gentle pure intentions.",https://www.royalspl.shop/en/product-detail.html?id=23,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/03-dusty-blue-pink-aster-campanula-bouquet/dusty-blue-pink-aster-campanula-bouquet-main.jpg,1180.00 HKD,,preorder,new,RoyalSpl Florist,Home & Garden > Plants > Flowers,法式田園風
RSP-023,Peach Lace,"Peach Lace French pastoral bouquet featuring champagne Juliet garden roses, vintage pink roses, daisies and lace flowers, with spiral structure showing stems in classic French technique. Wrapped in charcoal grey waterproof tissue paper, understated elegance. Handcrafted by RoyalSpl Florist HK with fresh imported flowers, delivery across Hong Kong, perfect for Valentine's, birthdays and anniversaries.",https://www.royalspl.shop/en/product-detail.html?id=24,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/04-peach-garden-rose-ammi-bouquet/peach-garden-rose-pink-spray-ammi-bouquet-main.jpg,1280.00 HKD,,preorder,new,RoyalSpl Florist,Home & Garden > Plants > Flowers,法式田園風
RSP-024,Nude Pink Dawn,"Nude Pink Dawn French natural style bouquet featuring light blue delphinium, peach and white bellflowers, chamomile, eucalyptus and ferns, with airy lightness like the first dawn. Morandi matte grey-blue art paper wrapping with dark grey velvet ribbon, elegant and touching. Handcrafted by HK florist with delivery across Hong Kong, perfect for birthdays, anniversaries and home décor.",https://www.royalspl.shop/en/product-detail.html?id=25,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/05-nude-pink-rose-lavender-eucalyptus-bouquet/nude-pink-rose-lavender-ammi-eucalyptus-bouquet-main.jpg,1080.00 HKD,,preorder,new,RoyalSpl Florist,Home & Garden > Plants > Flowers,法式田園風
RSP-025,French Countryside • Vintage Floral Whispers,"French Pastoral Vintage Floral bouquet featuring coral garden roses, cream white roses, bellflowers, lace flowers and sage green foliage, not competing with other blooms but expressing vintage tranquility through casual vitality. Caramel and charcoal packaging with Southern French pastoral charm. Handcrafted by HK florist with delivery across Hong Kong, perfect for birthdays, housewarmings and corporate gifts.",https://www.royalspl.shop/en/product-detail.html?id=26,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/06-peach-garden-rose-blue-cornflower-sage-bouquet/peach-garden-rose-blue-cornflower-sage-green-bouquet-main.jpg,1380.00 HKD,,preorder,new,RoyalSpl Florist,Home & Garden > Plants > Flowers,法式田園風
RSP-026,French Countryside  Purple Floral,"French Pastoral Vintage Grey Purple bouquet featuring Morandi mauve roses, cream white roses, bellflowers and daisies, with understated luxury colors as gentle as a Monet painting. Charcoal grey and silver matte packaging creates vintage artistic feel. Handcrafted by Hong Kong florist with fresh imported flowers, delivery across HK, perfect for Valentine's, anniversaries and proposals.",https://www.royalspl.shop/en/product-detail.html?id=27,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/07-mauve-rose-white-rose-daisy-luxury-bouquet/mauve-rose-white-rose-daisy-luxury-bouquet-main.jpg,1380.00 HKD,,preorder,new,RoyalSpl Florist,Home & Garden > Plants > Flowers,法式田園風
RSP-027,French Countryside • Dawn’s Tale,"French Countryside Dawn Story bouquet featuring Juliet garden roses, cream white ranunculus, daisies and eucalyptus, with casual natural lines creating a peaceful pastoral morning atmosphere. Wrapped in charcoal grey waterproof tissue with oatmeal burlap ribbon, vintage elegance. Handcrafted by RoyalSpl Florist HK with delivery across Hong Kong, perfect for birthdays, Mother's Day and get-well gifts.",https://www.royalspl.shop/en/product-detail.html?id=28,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/08-white-ranunculus-peach-rose-pink-bouquet/white-ranunculus-peach-rose-pink-spray-bouquet-main.jpg,1280.00 HKD,,preorder,new,RoyalSpl Florist,Home & Garden > Plants > Flowers,法式田園風
RSP-028,French Countryside • Dawn Tale,"French Pastoral Dawn Story bouquet featuring deep red Juliet garden roses, white eustoma, bellflowers and lace flowers, blooming with tenderness and passion in morning light. Sage green and caramel packaging creates a Southern French countryside atmosphere. Handcrafted by Hong Kong florist, fresh imported flowers delivered across HK, perfect for proposals, anniversaries and birthdays.",https://www.royalspl.shop/en/product-detail.html?id=29,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/09-burgundy-rose-white-lisianthus-classic-bouquet/burgundy-rose-white-lisianthus-classic-bouquet-main.jpg,1380.00 HKD,,preorder,new,RoyalSpl Florist,Home & Garden > Plants > Flowers,法式田園風
RSP-030,Morning Mist Orchid Bouquet,"Morning Mist Orchid French pastoral bouquet featuring Mauve grey roses, cream white ranunculus, sage green foliage and daisies, creating a serene dawn mist aesthetic. Wrapped in charcoal grey waterproof tissue paper with caramel ribbon, understated luxury. Handcrafted by RoyalSpl Florist Hong Kong with flower delivery across HK, perfect for birthdays, Valentine's and anniversaries.",https://www.royalspl.shop/en/product-detail.html?id=31,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/11-peach-garden-rose-purple-daisy-stock-bouquet/peach-garden-rose-purple-daisy-white-stock-bouquet-main.jpg,1180.00 HKD,,preorder,new,RoyalSpl Florist,Home & Garden > Plants > Flowers,法式田園風
