SKU,中文名稱,英文名稱,中文描述,花材,產地,規格,售價HKD,特價HKD,庫存,是否預購,預購天數,狀態,香調分數,香調備註(|分隔),標籤(|分隔),圖片URLs(|分隔),規格變體JSON,SEO標題,SEO描述,OG圖片URL
RSP-020,蔚藍花園,AZURE GARDEN,法式自然風花束。以大朵古典奶油黃庭園玫瑰為核心，搭配大量淺藍飛燕草、小白菊、尤加利葉與蕨類植物，呈現野趣自然的風格。包裝沿用原色亞麻布搭配黑絲絨絲帶。,庭園玫瑰、藍飛燕草、小白菊、尤加利葉、蕨類,進口,"寬45cm,高50cm",980,,50,Y,5,active,40,庭園玫瑰|飛燕草|小白菊|尤加利,法式自然風|庭園玫瑰|飛燕草|藍色系,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/01-blue-delphinium-garden-rose-bouquet/blue-delphinium-peach-garden-rose-bouquet-flower-closeup.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/01-blue-delphinium-garden-rose-bouquet/blue-delphinium-peach-garden-rose-bouquet-main.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/01-blue-delphinium-garden-rose-bouquet/blue-delphinium-peach-garden-rose-bouquet-side-detail.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/01-blue-delphinium-garden-rose-bouquet/blue-delphinium-peach-garden-rose-bouquet-wrapper-ribbon.jpg,"[{""type"":""standard"",""label_zh"":""標準款"",""stock_qty"":0,""price_extra_hkd"":0},{""type"":""deluxe"",""label_zh"":""精緻款"",""stock_qty"":0,""price_extra_hkd"":200},{""type"":""premium"",""label_zh"":""頂級款"",""stock_qty"":0,""price_extra_hkd"":500}]",藍飛燕園藝玫瑰 | RoyalSpl Florist 香港花藝,立即選購 藍飛燕園藝玫瑰，RoyalSpl Florist 呈獻法式自然風花藝，提供香港全境送花服務，同日送達。,
RSP-021,紫霧蜜桃,LAVENDER HAZE PEACH,法式自然風花束。奶油白與焦糖橘色庭園玫瑰，搭配粉色毛茛花、紫色飛燕草、大量尤加利葉與小雛菊，呈現野趣自然風格。包裝為亞麻布與牛皮紙組合。,庭園玫瑰、毛茛花、紫飛燕草、尤加利葉、小雛菊,進口,"寬45cm,高50cm",1080,,50,Y,5,active,45,庭園玫瑰|毛茛花|飛燕草|尤加利,法式自然風|庭園玫瑰|飛燕草|紫色系,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/02-lavender-delphinium-peach-rose-bouquet/lavender-delphinium-peach-rose-garden-bouquet-flower-closeup.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/02-lavender-delphinium-peach-rose-bouquet/lavender-delphinium-peach-rose-garden-bouquet-main.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/02-lavender-delphinium-peach-rose-bouquet/lavender-delphinium-peach-rose-garden-bouquet-side-detail.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/02-lavender-delphinium-peach-rose-bouquet/lavender-delphinium-peach-rose-garden-bouquet-wrapper-ribbon.jpg,"[{""type"":""standard"",""label_zh"":""標準款"",""stock_qty"":0,""price_extra_hkd"":0},{""type"":""deluxe"",""label_zh"":""精緻款"",""stock_qty"":0,""price_extra_hkd"":200},{""type"":""premium"",""label_zh"":""頂級款"",""stock_qty"":0,""price_extra_hkd"":500}]",薰衣草飛燕蜜桃玫瑰 | RoyalSpl Florist 香港花藝,立即選購 薰衣草飛燕蜜桃玫瑰，RoyalSpl Florist 呈獻法式自然風花藝，提供香港全境送花服務，同日送達。,
RSP-022,霧藍風鈴,DUSTY BLUE BELLFLOWER,法式自然風花束。大量淺藍飛燕草、小白菊、尤加利葉、蕨類植物，搭配野趣十足的桃色與白色風鈴草及中央洋甘菊。包裝為莫蘭迪霧面灰藍色高級藝術紙，深灰絲絨絲帶。,藍飛燕草、小白菊、風鈴草、洋甘菊、尤加利葉、蕨類,進口,"寬45cm,高50cm",1180,,50,Y,5,active,35,飛燕草|風鈴草|洋甘菊|尤加利,法式自然風|風鈴草|飛燕草|莫蘭迪色,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/03-dusty-blue-pink-aster-campanula-bouquet/dusty-blue-pink-aster-campanula-bouquet-flower-closeup.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/03-dusty-blue-pink-aster-campanula-bouquet/dusty-blue-pink-aster-campanula-bouquet-main.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/03-dusty-blue-pink-aster-campanula-bouquet/dusty-blue-pink-aster-campanula-bouquet-side-detail.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/03-dusty-blue-pink-aster-campanula-bouquet/dusty-blue-pink-aster-campanula-bouquet-wrapper-ribbon.jpg,"[{""type"":""standard"",""label_zh"":""標準款"",""stock_qty"":0,""price_extra_hkd"":0},{""type"":""deluxe"",""label_zh"":""精緻款"",""stock_qty"":0,""price_extra_hkd"":200},{""type"":""premium"",""label_zh"":""頂級款"",""stock_qty"":0,""price_extra_hkd"":500}]",霧藍粉翠菊風鈴草 | RoyalSpl Florist 香港花藝,立即選購 霧藍粉翠菊風鈴草，RoyalSpl Florist 呈獻法式自然風花藝，提供香港全境送花服務，同日送達。,
RSP-023,蜜桃蕾絲,PEACH LACE,法式田園復古花束。香檳色Juliet庭園玫瑰與復古粉玫瑰為主花，加入小白菊與蕾絲花，完全不含薰衣草或洋桔梗。包裝為炭灰色防水棉紙，螺旋結構露出花腳的法式標準。,Juliet庭園玫瑰、復古粉玫瑰、小白菊、蕾絲花,進口,"寬45cm,高50cm",1280,,50,Y,5,active,50,Juliet玫瑰|復古粉玫瑰|小白菊|蕾絲花,法式自然風|Juliet玫瑰|蕾絲花|香檳色,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/04-peach-garden-rose-ammi-bouquet/peach-garden-rose-pink-spray-ammi-bouquet-flower-closeup.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/04-peach-garden-rose-ammi-bouquet/peach-garden-rose-pink-spray-ammi-bouquet-main.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/04-peach-garden-rose-ammi-bouquet/peach-garden-rose-pink-spray-ammi-bouquet-side-detail.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/04-peach-garden-rose-ammi-bouquet/peach-garden-rose-pink-spray-ammi-bouquet-wrapper-ribbon.jpg,"[{""type"":""standard"",""label_zh"":""標準款"",""stock_qty"":0,""price_extra_hkd"":0},{""type"":""deluxe"",""label_zh"":""精緻款"",""stock_qty"":0,""price_extra_hkd"":200},{""type"":""premium"",""label_zh"":""頂級款"",""stock_qty"":0,""price_extra_hkd"":500}]",蜜桃園藝玫瑰蕾絲花 | RoyalSpl Florist 香港花藝,立即選購 蜜桃園藝玫瑰蕾絲花，RoyalSpl Florist 呈獻法式自然風花藝，提供香港全境送花服務，同日送達。,
RSP-024,裸粉晨曦,NUDE PINK DAWN,法式自然風花束。大量淺藍飛燕草、小白菊、尤加利葉、蕨類植物，搭配桃色與白色風鈴草及中央洋甘菊。包裝為莫蘭迪霧面灰藍色高級藝術紙，深灰絲絨絲帶。,藍飛燕草、小白菊、風鈴草、洋甘菊、尤加利葉、蕨類,進口,"寬45cm,高50cm",1080,,50,Y,5,active,40,飛燕草|風鈴草|洋甘菊|尤加利,法式自然風|飛燕草|風鈴草|裸粉色,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/05-nude-pink-rose-lavender-eucalyptus-bouquet/nude-pink-rose-lavender-ammi-eucalyptus-bouquet-flower-closeup.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/05-nude-pink-rose-lavender-eucalyptus-bouquet/nude-pink-rose-lavender-ammi-eucalyptus-bouquet-main.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/05-nude-pink-rose-lavender-eucalyptus-bouquet/nude-pink-rose-lavender-ammi-eucalyptus-bouquet-side-detail.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/05-nude-pink-rose-lavender-eucalyptus-bouquet/nude-pink-rose-lavender-ammi-eucalyptus-bouquet-wrapper-ribbon.jpg,"[{""type"":""standard"",""label_zh"":""標準款"",""stock_qty"":0,""price_extra_hkd"":0},{""type"":""deluxe"",""label_zh"":""精緻款"",""stock_qty"":0,""price_extra_hkd"":200},{""type"":""premium"",""label_zh"":""頂級款"",""stock_qty"":0,""price_extra_hkd"":500}]",裸粉玫瑰薰衣草尤加利 | RoyalSpl Florist 香港花藝,立即選購 裸粉玫瑰薰衣草尤加利，RoyalSpl Florist 呈獻法式自然風花藝，提供香港全境送花服務，同日送達。,
RSP-025,蜜桃鼠尾草,PEACH SAGE GARDEN,法式自然風花束。珊瑚橘與奶油白庭園玫瑰，配花加入大量淺藍色風鈴草、蕾絲花及豐富草花結構。包裝為莫蘭迪霧面鼠尾草綠與焦糖色牛皮紙疊放，燕麥色粗麻布毛邊絲帶。,庭園玫瑰、藍風鈴草、蕾絲花、鼠尾草,進口,"寬45cm,高50cm",1380,,50,Y,5,active,45,庭園玫瑰|風鈴草|蕾絲花|洋桔梗,法式自然風|庭園玫瑰|風鈴草|鼠尾草綠,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/06-peach-garden-rose-blue-cornflower-sage-bouquet/peach-garden-rose-blue-cornflower-sage-green-bouquet-flower-closeup.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/06-peach-garden-rose-blue-cornflower-sage-bouquet/peach-garden-rose-blue-cornflower-sage-green-bouquet-main.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/06-peach-garden-rose-blue-cornflower-sage-bouquet/peach-garden-rose-blue-cornflower-sage-green-bouquet-side-detail.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/06-peach-garden-rose-blue-cornflower-sage-bouquet/peach-garden-rose-blue-cornflower-sage-green-bouquet-wrapper-ribbon.jpg,"[{""type"":""standard"",""label_zh"":""標準款"",""stock_qty"":0,""price_extra_hkd"":0},{""type"":""deluxe"",""label_zh"":""精緻款"",""stock_qty"":0,""price_extra_hkd"":200},{""type"":""premium"",""label_zh"":""頂級款"",""stock_qty"":0,""price_extra_hkd"":500}]",蜜桃園藝玫瑰藍矢車菊 | RoyalSpl Florist 香港花藝,立即選購 蜜桃園藝玫瑰藍矢車菊，RoyalSpl Florist 呈獻法式自然風花藝，提供香港全境送花服務，同日送達。,
RSP-026,莫蘭迪暗戀,MAUVE ADMIRER,法式自然風奢華花束。莫蘭迪色系灰紫玫瑰（暗戀情人品種）與奶油白玫瑰（雲賞品種），搭配大量小白菊、尤加利葉、蕨類、薄荷與粉白風鈴草。包裝為炭灰色與銀灰色防水棉紙層次疊放。,灰紫玫瑰、奶油白玫瑰、小白菊、風鈴草、尤加利葉、薄荷、蕨類,進口,"寬45cm,高50cm",1580,,50,Y,5,active,55,灰紫玫瑰|奶油白玫瑰|小白菊|風鈴草,法式自然風|莫蘭迪色|灰紫玫瑰|奢華,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/07-mauve-rose-white-rose-daisy-luxury-bouquet/mauve-rose-white-rose-daisy-luxury-bouquet-flower-closeup.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/07-mauve-rose-white-rose-daisy-luxury-bouquet/mauve-rose-white-rose-daisy-luxury-bouquet-main.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/07-mauve-rose-white-rose-daisy-luxury-bouquet/mauve-rose-white-rose-daisy-luxury-bouquet-side-detail.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/07-mauve-rose-white-rose-daisy-luxury-bouquet/mauve-rose-white-rose-daisy-luxury-bouquet-wrapper-ribbon.jpg,"[{""type"":""standard"",""label_zh"":""標準款"",""stock_qty"":0,""price_extra_hkd"":0},{""type"":""deluxe"",""label_zh"":""精緻款"",""stock_qty"":0,""price_extra_hkd"":200},{""type"":""premium"",""label_zh"":""頂級款"",""stock_qty"":0,""price_extra_hkd"":500}]",莫蘭迪灰紫玫瑰 | RoyalSpl Florist 香港花藝,立即選購 莫蘭迪灰紫玫瑰，RoyalSpl Florist 呈獻法式自然風花藝，提供香港全境送花服務，同日送達。,
RSP-027,白蓮蜜桃,WHITE RANUNCULUS & PEACH,法式自然風花束。溫柔香檳色Juliet庭園玫瑰與奶油白陸蓮花，搭配大量小白菊、蕾絲花及豐富草花結構。包裝為深淺炭灰色高級防水棉紙，炭灰色純棉毛邊絲帶加細麻繩。,Juliet庭園玫瑰、白陸蓮花、小白菊、蕾絲花,進口,"寬45cm,高50cm",1280,,50,Y,5,active,50,Juliet玫瑰|陸蓮花|小白菊|蕾絲花,法式自然風|陸蓮花|Juliet玫瑰|白色系,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/08-white-ranunculus-peach-rose-pink-bouquet/white-ranunculus-peach-rose-pink-spray-bouquet-flower-closeup.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/08-white-ranunculus-peach-rose-pink-bouquet/white-ranunculus-peach-rose-pink-spray-bouquet-main.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/08-white-ranunculus-peach-rose-pink-bouquet/white-ranunculus-peach-rose-pink-spray-bouquet-side-detail.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/08-white-ranunculus-peach-rose-pink-bouquet/white-ranunculus-peach-rose-pink-spray-bouquet-wrapper-ribbon.jpg,"[{""type"":""standard"",""label_zh"":""標準款"",""stock_qty"":0,""price_extra_hkd"":0},{""type"":""deluxe"",""label_zh"":""精緻款"",""stock_qty"":0,""price_extra_hkd"":200},{""type"":""premium"",""label_zh"":""頂級款"",""stock_qty"":0,""price_extra_hkd"":500}]",白陸蓮蜜桃玫瑰 | RoyalSpl Florist 香港花藝,立即選購 白陸蓮蜜桃玫瑰，RoyalSpl Florist 呈獻法式自然風花藝，提供香港全境送花服務，同日送達。,
RSP-028,深紅田園,BURGUNDY COTTAGE,法式田園經典花束。深紅庭園玫瑰與奶油白陸蓮花，搭配小白菊、蕾絲花、尤加利葉與蕨類植物。包裝為炭灰色高級棉紙，螺旋手法低矮露出花腳。,深紅庭園玫瑰、白陸蓮花、小白菊、蕾絲花、尤加利葉、蕨類,進口,"寬45cm,高50cm",1180,,50,Y,5,active,45,深紅玫瑰|陸蓮花|小白菊|蕾絲花,法式自然風|深紅玫瑰|洋桔梗|經典,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/09-burgundy-rose-white-lisianthus-classic-bouquet/burgundy-rose-white-lisianthus-classic-bouquet-flower-closeup.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/09-burgundy-rose-white-lisianthus-classic-bouquet/burgundy-rose-white-lisianthus-classic-bouquet-main.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/09-burgundy-rose-white-lisianthus-classic-bouquet/burgundy-rose-white-lisianthus-classic-bouquet-side-detail.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/09-burgundy-rose-white-lisianthus-classic-bouquet/burgundy-rose-white-lisianthus-classic-bouquet-wrapper-ribbon.jpg,"[{""type"":""standard"",""label_zh"":""標準款"",""stock_qty"":0,""price_extra_hkd"":0},{""type"":""deluxe"",""label_zh"":""精緻款"",""stock_qty"":0,""price_extra_hkd"":200},{""type"":""premium"",""label_zh"":""頂級款"",""stock_qty"":0,""price_extra_hkd"":500}]",深紅玫瑰白洋桔梗 | RoyalSpl Florist 香港花藝,立即選購 深紅玫瑰白洋桔梗，RoyalSpl Florist 呈獻法式自然風花藝，提供香港全境送花服務，同日送達。,
RSP-029,蜜桃飛燕桌花,PEACH DELPHINIUM TABLE,法式自然風桌花。庭園玫瑰（香檳/復古粉）、洋桔梗（白）、蕾絲花與尤加利葉，花葉比例4:6，綠意盎然。不規則生長線條與輕盈空氣感，燕麥色原色棉麻布搭配手撕毛邊真絲絲帶。,庭園玫瑰、白洋桔梗、蕾絲花、尤加利葉,進口,"寬45cm,高50cm",1480,,50,Y,5,active,40,庭園玫瑰|洋桔梗|蕾絲花|尤加利,法式自然風|桌花|庭園玫瑰|飛燕草,https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/10-peach-rose-white-delphinium-table-bouquet/peach-rose-white-delphinium-garden-table-bouquet-flower-closeup.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/10-peach-rose-white-delphinium-table-bouquet/peach-rose-white-delphinium-garden-table-bouquet-main.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/10-peach-rose-white-delphinium-table-bouquet/peach-rose-white-delphinium-garden-table-bouquet-side-detail.jpg|https://pub-aed48a8286cf45d29bfc6eeefeb882fd.r2.dev/goods/10-peach-rose-white-delphinium-table-bouquet/peach-rose-white-delphinium-garden-table-bouquet-wrapper-ribbon.jpg,"[{""type"":""standard"",""label_zh"":""標準款"",""stock_qty"":0,""price_extra_hkd"":0},{""type"":""deluxe"",""label_zh"":""精緻款"",""stock_qty"":0,""price_extra_hkd"":200},{""type"":""premium"",""label_zh"":""頂級款"",""stock_qty"":0,""price_extra_hkd"":500}]",蜜桃玫瑰白飛燕桌花 | RoyalSpl Florist 香港花藝,立即選購 蜜桃玫瑰白飛燕桌花，RoyalSpl Florist 呈獻法式自然風花藝，提供香港全境送花服務，同日送達。,
